#ArDME,90/10 @ 25 degC, 779 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0234271,0.0236755,0.000105338
1,200,0.0169632,0.0175614,0.000220948
2,300,0.0146892,0.0157913,0.000345709
3,400,0.0137532,0.0153782,0.000483872
4,500,0.013371,0.01544,0.000639224
5,600,0.0136099,0.0161375,0.000812748
6,700,0.0142492,0.0168055,0.00100422
7,800,0.0150137,0.0178988,0.00121169
8,900,0.0161303,0.0185728,0.00143223
9,1000,0.0170604,0.0189491,0.00165547
10,1100,0.0187218,0.0190288,0.00186951
11,1200,0.0198344,0.0194522,0.00206985
12,1300,0.0215984,0.0191986,0.00224788
13,1400,0.0227016,0.0188328,0.00239532
14,1500,0.0241797,0.0182411,0.00251818
15,1600,0.0251716,0.017705,0.00261196
16,1700,0.025899,0.0172638,0.00268513
17,1800,0.0272691,0.0170494,0.00274286
18,1900,0.0280195,0.0171314,0.0027862
