#CO2Isobutane-9010 @25C degC,779Torr
#idx,Efield,transDiff,longDiff,e_Velocity
0, 100,0.0225041,0.0224432,7.67941e-05
1, 200,0.0159531,0.0159602,0.000157657
2, 300,0.0135316,0.0132727,0.000237783
3, 400,0.0116335,0.0117043,0.000317707
4, 500,0.0106293,0.0106098,0.000397898
5, 600,0.00989549,0.0098992,0.000478748
6, 700,0.00936826,0.00933929,0.000559249
7, 800,0.00890248,0.00883347,0.000639711
8, 900,0.00857878,0.00862794,0.00072233
9, 1000,0.00833589,0.00855268,0.000805815
10, 1100,0.00808598,0.00836664,0.000890876
11, 1200,0.00792987,0.00828482,0.000976657
12, 1300,0.00775922,0.00802093,0.00106479
13, 1400,0.00759839,0.00819473,0.00115493
14, 1500,0.00749658,0.00816492,0.00124754
15, 1600,0.00740413,0.0081967,0.00134396
16, 1700,0.00745706,0.00815432,0.00144278
17, 1800,0.00736072,0.00822107,0.00154466
18, 1900,0.00732538,0.00849729,0.00165101
