#NeDME-9010 @25C degC,779Torr
#idx,Efield,transDiff,longDiff,e_Velocity
0, 100,0.0235957,0.0239132,0.000105417
1, 200,0.017042,0.0173252,0.000221916
2, 300,0.0146139,0.0154431,0.000345162
3, 400,0.0136548,0.0145948,0.000480693
4, 500,0.0134246,0.0151084,0.00062965
5, 600,0.0135246,0.0154406,0.000794121
6, 700,0.0140222,0.0162835,0.000972362
7, 800,0.0147301,0.0173436,0.0011639
8, 900,0.015534,0.0178074,0.00136833
9, 1000,0.0166692,0.0189979,0.00157934
10, 1100,0.0178798,0.0199914,0.0017922
11, 1200,0.0197184,0.0206644,0.00200064
12, 1300,0.0212118,0.0214457,0.00219676
13, 1400,0.0228119,0.0216871,0.00237685
14, 1500,0.0244706,0.0220673,0.00254208
15, 1600,0.0258651,0.0219104,0.00268703
16, 1700,0.0268642,0.022241,0.00281783
17, 1800,0.0281327,0.0223717,0.00292874
18, 1900,0.0287491,0.0219711,0.00303091
