#NeIsobutane-9010 @25C degC,779Torr
#idx,Efield,transDiff,longDiff,e_Velocity
0, 100,0.0355284,0.033115,0.00184371
1, 200,0.0325794,0.0258159,0.00291677
2, 300,0.0313174,0.0226435,0.00343106
3, 400,0.0312898,0.0211063,0.0037038
4, 500,0.0311209,0.0198409,0.00384475
5, 600,0.032065,0.0195735,0.0039101
6, 700,0.0321834,0.018974,0.00393096
7, 800,0.03328,0.0185156,0.00393304
8, 900,0.0336755,0.019133,0.00392878
9, 1000,0.034326,0.0191949,0.00392903
10, 1100,0.0347238,0.0193541,0.0039324
11, 1200,0.0348158,0.0199136,0.00394274
12, 1300,0.0353692,0.019824,0.00395915
13, 1400,0.0355235,0.0200528,0.00398227
14, 1500,0.0363167,0.0206673,0.00400883
15, 1600,0.0360868,0.0208054,0.00403871
16, 1700,0.0363921,0.0206192,0.00407113
17, 1800,0.0363665,0.020838,0.0041056
18, 1900,0.0365621,0.0207819,0.0041421
